คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5,คอลัมน์6,คอลัมน์7
,,,,,,
KilomilesWorld01,Species,Human,Aura,Water,Spirit,Knight
KilomilesWorld02,Species,Human,Aura,Sunlight,Spirit,Dinosaur
KilomilesWorld03,Species,Elf,Aura,Fire,Spirit,Assassin
KilomilesWorld04,Species,Human,Aura,Cloud,Spirit,Wolf
KilomilesWorld05,Species,Human,Aura,Sunlight,Spirit,Warrior
KilomilesWorld06,Species,Human,Aura,Sunlight,Spirit,Adventurer
KilomilesWorld07,Species,Human,Aura,Forest,Spirit,Dinosaur
KilomilesWorld08,Species,Elf,Aura,Forest,Spirit,Bear
KilomilesWorld09,Species,Human,Aura,Fire,Spirit,Dinosaur
KilomilesWorld10,Species,Human,Aura,Darkness,Spirit,Wizard
KilomilesWorld11,Species,Human,Aura,Water,Spirit,Dinosaur
KilomilesWorld12,Species,Human,Aura,Forest,Spirit,Ninja
KilomilesWorld13,Species,Dwarf,Aura,Water,Spirit,Fighter
KilomilesWorld14,Species,Human,Aura,Cloud,Spirit,Wolf 
KilomilesWorld15,Species,Human,Aura,Water,Spirit,Bear
KilomilesWorld16,Species,Human,Aura,Cherry Blossoms,Spirit,Dragon
KilomilesWorld17,Species,Titan,Aura,Wood,Spirit,Guardian
KilomilesWorld18,Species,Human,Aura,Forest,Spirit,Mushroom
KilomilesWorld19,Species,Human,Aura,Water,Spirit,Snow
KilomilesWorld20,Species,Human,Aura,Fire,Spirit,Princess
KilomilesWorld21,Species,Human,Aura,Gold,Spirit,Bear
KilomilesWorld22,Species,Human,Aura,Cloud,Spirit,Wizard
KilomilesWorld23,Species,Angle,Aura,Water,Spirit,Wing 
KilomilesWorld24,Species,Human,Aura,Water,Spirit,Ninja
KilomilesWorld25,Species,Human,Aura,Fire,Spirit,Fish
KilomilesWorld26,Species,Titan,Aura,Water,Spirit,Guardian
KilomilesWorld27,Species,Dwarf,Aura,Cloud,Spirit,Warrior
KilomilesWorld28,Species,Human,Aura,Fire,Spirit,Dinosaur
KilomilesWorld29,Species,Human,Aura,Gold,Spirit,Mushroom
KilomilesWorld30,Species,God,Aura,Forest,Spirit,Peaceful
KilomilesWorld31,Species,Human,Aura,Water,Spirit,Fish
KilomilesWorld32,Species,Human,Aura,Forest,Spirit,Bear
KilomilesWorld33,Species,Dwarf,Aura,Fire,Spirit,Warrior
KilomilesWorld34,Species,Human,Aura,Forest,Spirit,Warrior
KilomilesWorld35,Species,Human,Aura,Cloud,Spirit,Dragon
KilomilesWorld36,Species,Human,Aura,Forest,Spirit,Wizard
KilomilesWorld37,Species,Titan,Aura,Water,Spirit,Guardian
KilomilesWorld38,Species,Human,Aura,Cherry Blossoms,Spirit,Ninja
KilomilesWorld39,Species,Human,Aura,Forest,Spirit,Bear
KilomilesWorld40,Species,Human,Aura,Darkness,Spirit,Wizard
KilomilesWorld41,Species,Robot,Aura,Fire,Spirit,Fighter
KilomilesWorld42,Species,Half-human,Aura,Forest,Spirit,Fighter
KilomilesWorld43,Species,Human,Aura,Cloud,Spirit,Bear
KilomilesWorld44,Species,Human,Aura,Sunlight,Spirit,Dragon
KilomilesWorld45,Species,Human,Aura,Fire,Spirit,Geisha
KilomilesWorld46,Species,Human,Aura,Sunlight,Spirit,Building
KilomilesWorld47,Species,Human,Aura,Cherry Blossoms,Spirit,Wolf 
KilomilesWorld48,Species,Human,Aura,Sunlight,Spirit,Warrior
KilomilesWorld49,Species,Human,Aura,Gold,Spirit,Geisha
KilomilesWorld50,Species,Human,Aura,Fire,Spirit,Wizard
KilomilesWorld51,Species,Human,Aura,Water,Spirit,Dinosaur
KilomilesWorld52,Species,Human,Aura,Fire,Spirit,Building
KilomilesWorld53,Species,Human,Aura,Cloud,Spirit,Building
KilomilesWorld54,Species,Human,Aura,Cherry Blossoms,Spirit,Princess
KilomilesWorld55,Species,Human,Aura,Gold,Spirit,Ninja
KilomilesWorld56,Species,Human,Aura,Sunlight,Spirit,Hawk
KilomilesWorld57,Species,Human,Aura,Forest,Spirit,Sheep
KilomilesWorld58,Species,Orc,Aura,Water,Spirit,Fighter
KilomilesWorld59,Species,Human,Aura,Forest,Spirit,Princess
KilomilesWorld60,Species,Human,Aura,Gold,Spirit,Princess
KilomilesWorld61,Species,Human,Aura,Forest,Spirit,Ninja
KilomilesWorld62,Species,Human,Aura,Fire,Spirit,Dragon
KilomilesWorld63,Species,Orc,Aura,Fire,Spirit,Adventurer
KilomilesWorld64,Species,Human,Aura,Forest,Spirit,Wizard
KilomilesWorld65,Species,Human,Aura,Wood,Spirit,Ninja
KilomilesWorld66,Species,Human,Aura,Water,Spirit,Building
KilomilesWorld67,Species,Robot,Aura,Sunlight,Spirit,Cyborg
KilomilesWorld68,Species,Human,Aura,Forest,Spirit,Hawk
KilomilesWorld69,Species,Dwarf,Aura,Forest,Spirit,Pirate
KilomilesWorld70,Species,God,Aura,Forest,Spirit,Peaceful
KilomilesWorld71,Species,Human,Aura,Darkness,Spirit,Fighter
KilomilesWorld72,Species,Human,Aura,Water,Spirit,Dinosaur
KilomilesWorld73,Species,Human,Aura,Forest,Spirit,Soldier
KilomilesWorld74,Species,Orc,Aura,Cloud,Spirit,Barbarian
KilomilesWorld75,Species,Human,Aura,Water,Spirit,Snake
KilomilesWorld76,Species,Titan,Aura,Forest,Spirit,Guardian
KilomilesWorld77,Species,Human,Aura,Water,Spirit,Angle
KilomilesWorld78,Species,Elf,Aura,Forest,Spirit,Adventurer
KilomilesWorld79,Species,Dwarf,Aura,Wood,Spirit,Fighter
KilomilesWorld80,Species,Titan,Aura,Fire,Spirit,Cyborg
KilomilesWorld81,Species,Human,Aura,Cloud,Spirit,Cyborg
KilomilesWorld82,Species,Human,Aura,Forest,Spirit,Assassin
KilomilesWorld83,Species,Human,Aura,Fire,Spirit,Dragon
KilomilesWorld84,Species,Human,Aura,Water,Spirit,Bear
KilomilesWorld85,Species,Human,Aura,Fire,Spirit,Assassin
